class_index,synset,wordnet_id,gloss,wikilinks,supercategory,val_sample_paths
533,"dishrag, dishcloth",n03207743,a cloth for washing dishes,['https://en.wikipedia.org/wiki/Dishcloth'],"Clothes, covering","['ILSVRC2012_val_00048245.JPEG', 'ILSVRC2012_val_00037246.JPEG', 'ILSVRC2012_val_00049319.JPEG', 'ILSVRC2012_val_00018803.JPEG', 'ILSVRC2012_val_00041412.JPEG']"
534,"dishwasher, dish washer, dishwashing machine",n03207941,a machine for washing dishes,['https://en.wikipedia.org/wiki/Dishwasher'],Devices,"['ILSVRC2012_val_00011442.JPEG', 'ILSVRC2012_val_00019668.JPEG', 'ILSVRC2012_val_00026376.JPEG', 'ILSVRC2012_val_00025368.JPEG', 'ILSVRC2012_val_00014622.JPEG']"
535,"disk brake, disc brake",n03208938,hydraulic brake in which friction is applied to both sides of a spinning disk by the brake pads,['https://en.wikipedia.org/wiki/Disc_brake'],Devices,"['ILSVRC2012_val_00018891.JPEG', 'ILSVRC2012_val_00003009.JPEG', 'ILSVRC2012_val_00019515.JPEG', 'ILSVRC2012_val_00015616.JPEG', 'ILSVRC2012_val_00046052.JPEG']"
536,"dock, dockage, docking facility",n03216828,"landing in a harbor next to a pier where ships are loaded and unloaded or repaired; may have gates to let water in or out; ""the ship arrived at the dock more than a day late""",['https://en.wikipedia.org/wiki/Dock_(maritime)'],"Structures, furnishing","['ILSVRC2012_val_00009612.JPEG', 'ILSVRC2012_val_00009068.JPEG', 'ILSVRC2012_val_00028756.JPEG', 'ILSVRC2012_val_00027581.JPEG', 'ILSVRC2012_val_00006838.JPEG']"
537,"dogsled, dog sled, dog sleigh",n03218198,a sled pulled by dogs,['https://en.wikipedia.org/wiki/Dog_sled'],vehicles,"['ILSVRC2012_val_00033536.JPEG', 'ILSVRC2012_val_00023581.JPEG', 'ILSVRC2012_val_00041618.JPEG', 'ILSVRC2012_val_00007393.JPEG', 'ILSVRC2012_val_00027246.JPEG']"
538,dome,n03220513,a hemispherical roof,['https://en.wikipedia.org/wiki/Dome'],"Clothes, covering","['ILSVRC2012_val_00026781.JPEG', 'ILSVRC2012_val_00018307.JPEG', 'ILSVRC2012_val_00005638.JPEG', 'ILSVRC2012_val_00007711.JPEG', 'ILSVRC2012_val_00042194.JPEG']"
539,"doormat, welcome mat",n03223299,a mat placed outside an exterior door for wiping the shoes before entering,['https://en.wikipedia.org/wiki/Mat'],"Clothes, covering","['ILSVRC2012_val_00019490.JPEG', 'ILSVRC2012_val_00021082.JPEG', 'ILSVRC2012_val_00015640.JPEG', 'ILSVRC2012_val_00006362.JPEG', 'ILSVRC2012_val_00007119.JPEG']"
540,"drilling platform, offshore rig",n03240683,drilling rig consisting of an offshore platform (floating or fixed to the sea bed) from which many oil wells can be bored radially,['https://en.wikipedia.org/wiki/Oil_platform'],Devices,"['ILSVRC2012_val_00035099.JPEG', 'ILSVRC2012_val_00026019.JPEG', 'ILSVRC2012_val_00009606.JPEG', 'ILSVRC2012_val_00037293.JPEG', 'ILSVRC2012_val_00022135.JPEG']"
541,"drum, membranophone, tympan",n03249569,a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end,['https://en.wikipedia.org/wiki/Drum'],Devices,"['ILSVRC2012_val_00020266.JPEG', 'ILSVRC2012_val_00025797.JPEG', 'ILSVRC2012_val_00016663.JPEG', 'ILSVRC2012_val_00041539.JPEG', 'ILSVRC2012_val_00020534.JPEG']"
542,drumstick,n03250847,a stick used for playing a drum,['https://en.wikipedia.org/wiki/Drum_stick'],"Implements, containers, misc. objects","['ILSVRC2012_val_00006941.JPEG', 'ILSVRC2012_val_00008089.JPEG', 'ILSVRC2012_val_00008946.JPEG', 'ILSVRC2012_val_00038053.JPEG', 'ILSVRC2012_val_00049569.JPEG']"
543,dumbbell,n03255030,an exercising weight; two spheres connected by a short bar that serves as a handle,['https://en.wikipedia.org/wiki/Dumbbell'],Devices,"['ILSVRC2012_val_00026185.JPEG', 'ILSVRC2012_val_00027642.JPEG', 'ILSVRC2012_val_00047390.JPEG', 'ILSVRC2012_val_00049683.JPEG', 'ILSVRC2012_val_00001275.JPEG']"
544,Dutch oven,n03259280,an oven consisting of a metal box for cooking in front of a fire,['https://en.wikipedia.org/wiki/Dutch_oven'],Devices,"['ILSVRC2012_val_00014647.JPEG', 'ILSVRC2012_val_00004959.JPEG', 'ILSVRC2012_val_00025819.JPEG', 'ILSVRC2012_val_00045899.JPEG', 'ILSVRC2012_val_00004830.JPEG']"
545,"electric fan, blower",n03271574,a fan run by an electric motor,['https://en.wikipedia.org/wiki/Fan_(machine)#Electrical'],Devices,"['ILSVRC2012_val_00039319.JPEG', 'ILSVRC2012_val_00026921.JPEG', 'ILSVRC2012_val_00002875.JPEG', 'ILSVRC2012_val_00012322.JPEG', 'ILSVRC2012_val_00009977.JPEG']"
546,electric guitar,n03272010,a guitar whose sound is amplified by electrical means,['https://en.wikipedia.org/wiki/Electric_guitar'],Devices,"['ILSVRC2012_val_00039929.JPEG', 'ILSVRC2012_val_00006373.JPEG', 'ILSVRC2012_val_00008283.JPEG', 'ILSVRC2012_val_00035404.JPEG', 'ILSVRC2012_val_00019195.JPEG']"
547,electric locomotive,n03272562,a locomotive that is powered by an electric motor,['https://en.wikipedia.org/wiki/Electric_locomotive'],vehicles,"['ILSVRC2012_val_00002199.JPEG', 'ILSVRC2012_val_00019631.JPEG', 'ILSVRC2012_val_00039148.JPEG', 'ILSVRC2012_val_00006515.JPEG', 'ILSVRC2012_val_00020195.JPEG']"
548,entertainment center,n03290653,a wall unit containing sound and television systems,['https://en.wikipedia.org/wiki/Entertainment_center'],"Structures, furnishing","['ILSVRC2012_val_00001691.JPEG', 'ILSVRC2012_val_00009515.JPEG', 'ILSVRC2012_val_00008763.JPEG', 'ILSVRC2012_val_00001255.JPEG', 'ILSVRC2012_val_00044315.JPEG']"
549,envelope,n03291819,"a flat (usually rectangular) container for a letter, thin package, etc.",['https://en.wikipedia.org/wiki/Envelope'],"Implements, containers, misc. objects","['ILSVRC2012_val_00009930.JPEG', 'ILSVRC2012_val_00048158.JPEG', 'ILSVRC2012_val_00033128.JPEG', 'ILSVRC2012_val_00030735.JPEG', 'ILSVRC2012_val_00038807.JPEG']"
550,espresso maker,n03297495,a coffee maker that forces live steam under pressure through dark roasted coffee grounds,['https://en.wikipedia.org/wiki/Espresso_machine'],Devices,"['ILSVRC2012_val_00020878.JPEG', 'ILSVRC2012_val_00017000.JPEG', 'ILSVRC2012_val_00044030.JPEG', 'ILSVRC2012_val_00020583.JPEG', 'ILSVRC2012_val_00004086.JPEG']"
551,face powder,n03314780,cosmetic powder for the face,['https://en.wikipedia.org/wiki/Face_powder'],"Implements, containers, misc. objects","['ILSVRC2012_val_00009520.JPEG', 'ILSVRC2012_val_00005269.JPEG', 'ILSVRC2012_val_00030231.JPEG', 'ILSVRC2012_val_00042169.JPEG', 'ILSVRC2012_val_00032987.JPEG']"
552,"feather boa, boa",n03325584,a long thin fluffy scarf of feathers or fur,['https://en.wikipedia.org/wiki/Feather_boa'],"Clothes, covering","['ILSVRC2012_val_00010429.JPEG', 'ILSVRC2012_val_00008564.JPEG', 'ILSVRC2012_val_00036306.JPEG', 'ILSVRC2012_val_00037618.JPEG', 'ILSVRC2012_val_00012121.JPEG']"
553,"file, file cabinet, filing cabinet",n03337140,office furniture consisting of a container for keeping papers in order,['https://en.wikipedia.org/wiki/Filing_cabinet'],"Structures, furnishing","['ILSVRC2012_val_00028261.JPEG', 'ILSVRC2012_val_00017828.JPEG', 'ILSVRC2012_val_00022144.JPEG', 'ILSVRC2012_val_00040885.JPEG', 'ILSVRC2012_val_00045967.JPEG']"
554,fireboat,n03344393,a boat equipped to fight fires on ships or along a waterfront,['https://en.wikipedia.org/wiki/Fireboat'],vehicles,"['ILSVRC2012_val_00018727.JPEG', 'ILSVRC2012_val_00008048.JPEG', 'ILSVRC2012_val_00007503.JPEG', 'ILSVRC2012_val_00017026.JPEG', 'ILSVRC2012_val_00022927.JPEG']"
555,"fire engine, fire truck",n03345487,any of various large trucks that carry firemen and equipment to the site of a fire,['https://en.wikipedia.org/wiki/Fire_engine'],vehicles,"['ILSVRC2012_val_00015376.JPEG', 'ILSVRC2012_val_00036198.JPEG', 'ILSVRC2012_val_00043256.JPEG', 'ILSVRC2012_val_00034340.JPEG', 'ILSVRC2012_val_00039000.JPEG']"
556,"fire screen, fireguard",n03347037,a metal screen before an open fire for protection (especially against flying sparks),['https://en.wikipedia.org/wiki/Fire_screen'],"Clothes, covering","['ILSVRC2012_val_00011810.JPEG', 'ILSVRC2012_val_00037640.JPEG', 'ILSVRC2012_val_00026294.JPEG', 'ILSVRC2012_val_00019779.JPEG', 'ILSVRC2012_val_00001167.JPEG']"
557,"flagpole, flagstaff",n03355925,a tall staff or pole on which a flag is raised,['https://en.wikipedia.org/wiki/Flag#Flagpoles'],"Implements, containers, misc. objects","['ILSVRC2012_val_00012141.JPEG', 'ILSVRC2012_val_00017296.JPEG', 'ILSVRC2012_val_00028362.JPEG', 'ILSVRC2012_val_00030788.JPEG', 'ILSVRC2012_val_00032933.JPEG']"
558,"flute, transverse flute",n03372029,a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,['https://en.wikipedia.org/wiki/Flute'],Devices,"['ILSVRC2012_val_00046205.JPEG', 'ILSVRC2012_val_00023610.JPEG', 'ILSVRC2012_val_00034937.JPEG', 'ILSVRC2012_val_00031790.JPEG', 'ILSVRC2012_val_00021856.JPEG']"
559,folding chair,n03376595,a chair that can be folded flat for storage,['https://en.wikipedia.org/wiki/Folding_chair'],"Structures, furnishing","['ILSVRC2012_val_00036175.JPEG', 'ILSVRC2012_val_00015646.JPEG', 'ILSVRC2012_val_00015184.JPEG', 'ILSVRC2012_val_00010721.JPEG', 'ILSVRC2012_val_00012771.JPEG']"
560,football helmet,n03379051,a padded helmet with a face mask to protect the head of football players,['https://en.wikipedia.org/wiki/Football_helmet'],"Clothes, covering","['ILSVRC2012_val_00030467.JPEG', 'ILSVRC2012_val_00020653.JPEG', 'ILSVRC2012_val_00035645.JPEG', 'ILSVRC2012_val_00045341.JPEG', 'ILSVRC2012_val_00034208.JPEG']"
561,forklift,n03384352,a small industrial vehicle with a power operated forked platform in front that can be inserted under loads to lift and move them,['https://en.wikipedia.org/wiki/Forklift'],vehicles,"['ILSVRC2012_val_00038470.JPEG', 'ILSVRC2012_val_00045722.JPEG', 'ILSVRC2012_val_00045886.JPEG', 'ILSVRC2012_val_00010186.JPEG', 'ILSVRC2012_val_00018938.JPEG']"
562,fountain,n03388043,a structure from which an artificially produced jet of water arises,['https://en.wikipedia.org/wiki/Fountain'],"Structures, furnishing","['ILSVRC2012_val_00039949.JPEG', 'ILSVRC2012_val_00041896.JPEG', 'ILSVRC2012_val_00006134.JPEG', 'ILSVRC2012_val_00040490.JPEG', 'ILSVRC2012_val_00046821.JPEG']"
563,fountain pen,n03388183,a pen that is supplied with ink from a reservoir in its barrel,['https://en.wikipedia.org/wiki/Fountain_pen'],"Implements, containers, misc. objects","['ILSVRC2012_val_00010518.JPEG', 'ILSVRC2012_val_00021816.JPEG', 'ILSVRC2012_val_00005686.JPEG', 'ILSVRC2012_val_00022973.JPEG', 'ILSVRC2012_val_00008628.JPEG']"
564,four-poster,n03388549,a bed with posts at the four corners that can be used to support a canopy or curtains,['https://en.wikipedia.org/wiki/Four-poster_bed'],"Structures, furnishing","['ILSVRC2012_val_00013829.JPEG', 'ILSVRC2012_val_00048243.JPEG', 'ILSVRC2012_val_00047074.JPEG', 'ILSVRC2012_val_00038144.JPEG', 'ILSVRC2012_val_00041407.JPEG']"
565,freight car,n03393912,a railway car that carries freight,['https://en.wikipedia.org/wiki/Goods_wagon'],vehicles,"['ILSVRC2012_val_00023669.JPEG', 'ILSVRC2012_val_00046281.JPEG', 'ILSVRC2012_val_00006511.JPEG', 'ILSVRC2012_val_00016231.JPEG', 'ILSVRC2012_val_00002595.JPEG']"
566,"French horn, horn",n03394916,a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,['https://en.wikipedia.org/wiki/French_horn'],Devices,"['ILSVRC2012_val_00037592.JPEG', 'ILSVRC2012_val_00022754.JPEG', 'ILSVRC2012_val_00041668.JPEG', 'ILSVRC2012_val_00041958.JPEG', 'ILSVRC2012_val_00003587.JPEG']"
567,"frying pan, frypan, skillet",n03400231,a pan used for frying foods,['https://en.wikipedia.org/wiki/Frying_pan'],"Implements, containers, misc. objects","['ILSVRC2012_val_00003162.JPEG', 'ILSVRC2012_val_00014088.JPEG', 'ILSVRC2012_val_00047233.JPEG', 'ILSVRC2012_val_00020799.JPEG', 'ILSVRC2012_val_00009196.JPEG']"
568,fur coat,n03404251,a coat made of fur,['https://en.wikipedia.org/wiki/Fur_clothing'],"Clothes, covering","['ILSVRC2012_val_00021886.JPEG', 'ILSVRC2012_val_00038511.JPEG', 'ILSVRC2012_val_00014658.JPEG', 'ILSVRC2012_val_00044325.JPEG', 'ILSVRC2012_val_00018425.JPEG']"
569,"garbage truck, dustcart",n03417042,"a truck for collecting domestic refuse; ""in Britain a garbage truck is called a dustcart""",['https://en.wikipedia.org/wiki/Garbage_truck'],vehicles,"['ILSVRC2012_val_00019147.JPEG', 'ILSVRC2012_val_00028190.JPEG', 'ILSVRC2012_val_00034078.JPEG', 'ILSVRC2012_val_00047189.JPEG', 'ILSVRC2012_val_00005744.JPEG']"
570,"gasmask, respirator, gas helmet",n03424325,a protective mask with a filter; protects the face and lungs against poisonous gases,['https://en.wikipedia.org/wiki/Gas_mask'],"Clothes, covering","['ILSVRC2012_val_00026832.JPEG', 'ILSVRC2012_val_00031677.JPEG', 'ILSVRC2012_val_00036966.JPEG', 'ILSVRC2012_val_00023141.JPEG', 'ILSVRC2012_val_00008355.JPEG']"
571,"gas pump, gasoline pump, petrol pump, island dispenser",n03425413,a pump in a service station that draws gasoline from underground storage tanks,['https://en.wikipedia.org/wiki/Fuel_dispenser'],Devices,"['ILSVRC2012_val_00006434.JPEG', 'ILSVRC2012_val_00031412.JPEG', 'ILSVRC2012_val_00022252.JPEG', 'ILSVRC2012_val_00017866.JPEG', 'ILSVRC2012_val_00024806.JPEG']"
572,goblet,n03443371,a drinking glass with a base and stem,['https://en.wikipedia.org/wiki/Chalice'],"Implements, containers, misc. objects","['ILSVRC2012_val_00022560.JPEG', 'ILSVRC2012_val_00011835.JPEG', 'ILSVRC2012_val_00003868.JPEG', 'ILSVRC2012_val_00035335.JPEG', 'ILSVRC2012_val_00003629.JPEG']"
573,go-kart,n03444034,a small low motor vehicle with four wheels and an open framework; used for racing,['https://en.wikipedia.org/wiki/Go-kart'],vehicles,"['ILSVRC2012_val_00015436.JPEG', 'ILSVRC2012_val_00036048.JPEG', 'ILSVRC2012_val_00021232.JPEG', 'ILSVRC2012_val_00043614.JPEG', 'ILSVRC2012_val_00037078.JPEG']"
574,golf ball,n03445777,a small hard ball used in playing golf; dimpled to reduce wind resistance,['https://en.wikipedia.org/wiki/Golf_ball'],Devices,"['ILSVRC2012_val_00017247.JPEG', 'ILSVRC2012_val_00023845.JPEG', 'ILSVRC2012_val_00020502.JPEG', 'ILSVRC2012_val_00038790.JPEG', 'ILSVRC2012_val_00006468.JPEG']"
575,"golfcart, golf cart",n03445924,a small motor vehicle in which golfers can ride between shots,['https://en.wikipedia.org/wiki/Golf_cart'],Devices,"['ILSVRC2012_val_00048180.JPEG', 'ILSVRC2012_val_00006874.JPEG', 'ILSVRC2012_val_00001960.JPEG', 'ILSVRC2012_val_00012668.JPEG', 'ILSVRC2012_val_00014267.JPEG']"
576,gondola,n03447447,long narrow flat-bottomed boat propelled by sculling; traditionally used on canals of Venice,['https://en.wikipedia.org/wiki/Gondola'],vehicles,"['ILSVRC2012_val_00004431.JPEG', 'ILSVRC2012_val_00031369.JPEG', 'ILSVRC2012_val_00028194.JPEG', 'ILSVRC2012_val_00023392.JPEG', 'ILSVRC2012_val_00025284.JPEG']"
577,"gong, tam-tam",n03447721,a percussion instrument consisting of a metal plate that is struck with a softheaded drumstick,['https://en.wikipedia.org/wiki/Gong'],Devices,"['ILSVRC2012_val_00006130.JPEG', 'ILSVRC2012_val_00018370.JPEG', 'ILSVRC2012_val_00041770.JPEG', 'ILSVRC2012_val_00024104.JPEG', 'ILSVRC2012_val_00047055.JPEG']"
578,gown,n03450230,"a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions",['https://en.wikipedia.org/wiki/Gown'],"Clothes, covering","['ILSVRC2012_val_00013380.JPEG', 'ILSVRC2012_val_00040199.JPEG', 'ILSVRC2012_val_00004145.JPEG', 'ILSVRC2012_val_00002275.JPEG', 'ILSVRC2012_val_00035428.JPEG']"
579,"grand piano, grand",n03452741,a piano with the strings on a horizontal harp-shaped frame; usually supported by three legs,['https://en.wikipedia.org/wiki/Piano#grand_piano'],Devices,"['ILSVRC2012_val_00020252.JPEG', 'ILSVRC2012_val_00043735.JPEG', 'ILSVRC2012_val_00007940.JPEG', 'ILSVRC2012_val_00025854.JPEG', 'ILSVRC2012_val_00012694.JPEG']"
580,"greenhouse, nursery, glasshouse",n03457902,a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions,['https://en.wikipedia.org/wiki/Greenhouse'],"Structures, furnishing","['ILSVRC2012_val_00023965.JPEG', 'ILSVRC2012_val_00029630.JPEG', 'ILSVRC2012_val_00030218.JPEG', 'ILSVRC2012_val_00005071.JPEG', 'ILSVRC2012_val_00036327.JPEG']"
581,"grille, radiator grille",n03459775,grating that admits cooling air to car's radiator,['https://en.wikipedia.org/wiki/Grille_(car)'],"Structures, furnishing","['ILSVRC2012_val_00029201.JPEG', 'ILSVRC2012_val_00016475.JPEG', 'ILSVRC2012_val_00030037.JPEG', 'ILSVRC2012_val_00005798.JPEG', 'ILSVRC2012_val_00028470.JPEG']"
582,"grocery store, grocery, food market, market",n03461385,"a marketplace where groceries are sold; ""the grocery store included a meat market""",['https://en.wikipedia.org/wiki/Grocery_store'],"Structures, furnishing","['ILSVRC2012_val_00048863.JPEG', 'ILSVRC2012_val_00014183.JPEG', 'ILSVRC2012_val_00020954.JPEG', 'ILSVRC2012_val_00010291.JPEG', 'ILSVRC2012_val_00025959.JPEG']"
583,guillotine,n03467068,instrument of execution that consists of a weighted blade between two vertical poles; used for beheading people,['https://en.wikipedia.org/wiki/Guillotine'],Devices,"['ILSVRC2012_val_00006707.JPEG', 'ILSVRC2012_val_00042452.JPEG', 'ILSVRC2012_val_00015630.JPEG', 'ILSVRC2012_val_00016636.JPEG', 'ILSVRC2012_val_00017122.JPEG']"
584,hair slide,n03476684,a decorative hinged clip that girls and women put in their hair to hold it in place,['https://en.wikipedia.org/wiki/Barrette'],Devices,"['ILSVRC2012_val_00037847.JPEG', 'ILSVRC2012_val_00012670.JPEG', 'ILSVRC2012_val_00005666.JPEG', 'ILSVRC2012_val_00016238.JPEG', 'ILSVRC2012_val_00013972.JPEG']"
585,hair spray,n03476991,toiletry consisting of a commercial preparation that is sprayed on the hair to hold it in place,['https://en.wikipedia.org/wiki/Hair_spray'],"Implements, containers, misc. objects","['ILSVRC2012_val_00017903.JPEG', 'ILSVRC2012_val_00042521.JPEG', 'ILSVRC2012_val_00007805.JPEG', 'ILSVRC2012_val_00022960.JPEG', 'ILSVRC2012_val_00005670.JPEG']"
586,half track,n03478589,a motor vehicle propelled by half tracks; frequently used by the military,['https://en.wikipedia.org/wiki/Half-track'],vehicles,"['ILSVRC2012_val_00032010.JPEG', 'ILSVRC2012_val_00031431.JPEG', 'ILSVRC2012_val_00000746.JPEG', 'ILSVRC2012_val_00010856.JPEG', 'ILSVRC2012_val_00020471.JPEG']"
587,hammer,n03481172,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,['https://en.wikipedia.org/wiki/Hammer'],"Implements, containers, misc. objects","['ILSVRC2012_val_00024424.JPEG', 'ILSVRC2012_val_00027296.JPEG', 'ILSVRC2012_val_00028069.JPEG', 'ILSVRC2012_val_00037956.JPEG', 'ILSVRC2012_val_00025034.JPEG']"
588,hamper,n03482405,a basket usually with a cover,['https://en.wikipedia.org/wiki/Hamper'],"Implements, containers, misc. objects","['ILSVRC2012_val_00035224.JPEG', 'ILSVRC2012_val_00035968.JPEG', 'ILSVRC2012_val_00043065.JPEG', 'ILSVRC2012_val_00009512.JPEG', 'ILSVRC2012_val_00026371.JPEG']"
589,"hand blower, blow dryer, blow drier, hair dryer, hair drier",n03483316,a hand-held electric blower that can blow warm air onto the hair; used for styling hair,['https://en.wikipedia.org/wiki/Hair_dryer'],Devices,"['ILSVRC2012_val_00026003.JPEG', 'ILSVRC2012_val_00016008.JPEG', 'ILSVRC2012_val_00023379.JPEG', 'ILSVRC2012_val_00039288.JPEG', 'ILSVRC2012_val_00005824.JPEG']"
590,"hand-held computer, hand-held microcomputer",n03485407,a portable battery-powered computer small enough to be carried in your pocket,['https://en.wikipedia.org/wiki/Mobile_device'],Devices,"['ILSVRC2012_val_00043726.JPEG', 'ILSVRC2012_val_00036135.JPEG', 'ILSVRC2012_val_00009246.JPEG', 'ILSVRC2012_val_00021818.JPEG', 'ILSVRC2012_val_00024942.JPEG']"
591,"handkerchief, hankie, hanky, hankey",n03485794,a square piece of cloth used for wiping the eyes or nose or as a costume accessory,['https://en.wikipedia.org/wiki/Handkerchief'],"Clothes, covering","['ILSVRC2012_val_00010515.JPEG', 'ILSVRC2012_val_00036754.JPEG', 'ILSVRC2012_val_00000741.JPEG', 'ILSVRC2012_val_00049825.JPEG', 'ILSVRC2012_val_00019018.JPEG']"
592,"hard disc, hard disk, fixed disk",n03492542,a rigid magnetic disk mounted permanently in a drive unit,['https://en.wikipedia.org/wiki/Hard_disk_drive'],Devices,"['ILSVRC2012_val_00011209.JPEG', 'ILSVRC2012_val_00047339.JPEG', 'ILSVRC2012_val_00021902.JPEG', 'ILSVRC2012_val_00010852.JPEG', 'ILSVRC2012_val_00000367.JPEG']"
593,"harmonica, mouth organ, harp, mouth harp",n03494278,a small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,['https://en.wikipedia.org/wiki/Harmonica'],Devices,"['ILSVRC2012_val_00019269.JPEG', 'ILSVRC2012_val_00016322.JPEG', 'ILSVRC2012_val_00035637.JPEG', 'ILSVRC2012_val_00004948.JPEG', 'ILSVRC2012_val_00029729.JPEG']"
594,harp,n03495258,a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers,['https://en.wikipedia.org/wiki/Harp'],Devices,"['ILSVRC2012_val_00047550.JPEG', 'ILSVRC2012_val_00014569.JPEG', 'ILSVRC2012_val_00022015.JPEG', 'ILSVRC2012_val_00044541.JPEG', 'ILSVRC2012_val_00010855.JPEG']"
595,"harvester, reaper",n03496892,farm machine that gathers a food crop from the fields,['https://en.wikipedia.org/wiki/Combine_harvester'],Devices,"['ILSVRC2012_val_00013315.JPEG', 'ILSVRC2012_val_00032192.JPEG', 'ILSVRC2012_val_00037531.JPEG', 'ILSVRC2012_val_00000919.JPEG', 'ILSVRC2012_val_00000862.JPEG']"
596,hatchet,n03498962,a small ax with a short handle used with one hand (usually to chop wood),['https://en.wikipedia.org/wiki/Hatchet'],"Implements, containers, misc. objects","['ILSVRC2012_val_00012745.JPEG', 'ILSVRC2012_val_00047210.JPEG', 'ILSVRC2012_val_00033954.JPEG', 'ILSVRC2012_val_00016914.JPEG', 'ILSVRC2012_val_00034911.JPEG']"
597,holster,n03527444,a sheath (usually leather) for carrying a handgun,['https://en.wikipedia.org/wiki/Handgun_holster'],"Clothes, covering","['ILSVRC2012_val_00015772.JPEG', 'ILSVRC2012_val_00028590.JPEG', 'ILSVRC2012_val_00047965.JPEG', 'ILSVRC2012_val_00045803.JPEG', 'ILSVRC2012_val_00027730.JPEG']"
598,"home theater, home theatre",n03529860,television and video equipment designed to reproduce in the home the experience of being in a movie theater,['https://en.wikipedia.org/wiki/Home_theater_in_a_box'],"Structures, furnishing","['ILSVRC2012_val_00008533.JPEG', 'ILSVRC2012_val_00047086.JPEG', 'ILSVRC2012_val_00007441.JPEG', 'ILSVRC2012_val_00010142.JPEG', 'ILSVRC2012_val_00033213.JPEG']"
599,honeycomb,n03530642,a framework of hexagonal cells resembling the honeycomb built by bees,['https://en.wikipedia.org/wiki/Honeycomb'],"Structures, furnishing","['ILSVRC2012_val_00024562.JPEG', 'ILSVRC2012_val_00001784.JPEG', 'ILSVRC2012_val_00042804.JPEG', 'ILSVRC2012_val_00035870.JPEG', 'ILSVRC2012_val_00043487.JPEG']"
600,"hook, claw",n03532672,a mechanical device that is curved or bent to suspend or hold or pull something,['https://en.wikipedia.org/wiki/Hook'],Devices,"['ILSVRC2012_val_00041821.JPEG', 'ILSVRC2012_val_00016133.JPEG', 'ILSVRC2012_val_00017687.JPEG', 'ILSVRC2012_val_00033279.JPEG', 'ILSVRC2012_val_00031085.JPEG']"
601,"hoopskirt, crinoline",n03534580,a skirt stiffened with hoops,['https://en.wikipedia.org/wiki/Hoop_skirt'],"Clothes, covering","['ILSVRC2012_val_00028543.JPEG', 'ILSVRC2012_val_00014702.JPEG', 'ILSVRC2012_val_00037404.JPEG', 'ILSVRC2012_val_00030501.JPEG', 'ILSVRC2012_val_00024523.JPEG']"
602,"horizontal bar, high bar",n03535780,gymnastic apparatus consisting of a bar supported in a horizontal position by uprights at both ends,['https://en.wikipedia.org/wiki/Horizontal_bar'],Devices,"['ILSVRC2012_val_00027475.JPEG', 'ILSVRC2012_val_00014669.JPEG', 'ILSVRC2012_val_00032704.JPEG', 'ILSVRC2012_val_00025958.JPEG', 'ILSVRC2012_val_00046959.JPEG']"
603,"horse cart, horse-cart",n03538406,heavy cart; drawn by a horse; used for farm work,['https://en.wikipedia.org/wiki/Horse-drawn_vehicle'],vehicles,"['ILSVRC2012_val_00003461.JPEG', 'ILSVRC2012_val_00044735.JPEG', 'ILSVRC2012_val_00019986.JPEG', 'ILSVRC2012_val_00045964.JPEG', 'ILSVRC2012_val_00000752.JPEG']"
604,hourglass,n03544143,a sandglass that runs for sixty minutes,['https://en.wikipedia.org/wiki/Hourglass'],Devices,"['ILSVRC2012_val_00032075.JPEG', 'ILSVRC2012_val_00011019.JPEG', 'ILSVRC2012_val_00029896.JPEG', 'ILSVRC2012_val_00019475.JPEG', 'ILSVRC2012_val_00022005.JPEG']"
605,iPod,n03584254,(trademark) a pocket-sized device used to play music files,['https://en.wikipedia.org/wiki/IPod'],"Implements, containers, misc. objects","['ILSVRC2012_val_00017141.JPEG', 'ILSVRC2012_val_00039654.JPEG', 'ILSVRC2012_val_00026160.JPEG', 'ILSVRC2012_val_00041044.JPEG', 'ILSVRC2012_val_00010685.JPEG']"
606,"iron, smoothing iron",n03584829,home appliance consisting of a flat metal base that is heated and used to smooth cloth,['https://en.wikipedia.org/wiki/Clothes_iron'],Devices,"['ILSVRC2012_val_00001139.JPEG', 'ILSVRC2012_val_00000208.JPEG', 'ILSVRC2012_val_00009661.JPEG', 'ILSVRC2012_val_00044371.JPEG', 'ILSVRC2012_val_00000910.JPEG']"
607,jack-o'-lantern,n03590841,lantern carved from a pumpkin,['https://en.wikipedia.org/wiki/Jack-o%27-lantern'],Devices,"['ILSVRC2012_val_00027638.JPEG', 'ILSVRC2012_val_00042696.JPEG', 'ILSVRC2012_val_00048461.JPEG', 'ILSVRC2012_val_00002224.JPEG', 'ILSVRC2012_val_00024943.JPEG']"
